ID,bac_com,fun_com,bf_com,bac,fun,bf,type,pH,WC,Clay,silt,Sand,TN,TP,TC,MAP,site,Richness1,Shannon1,PD1,pcoa1,CopyNumber,Shannon2,Richness2,pd2,pcoa2,nw1,nw2,shannon,Richness,soil.1,div.1,com.1,nc.1,nw.1,MAT,plantdiv,ST,ALT
Bacteria_F273_raw,0.447086937,0.256097561,0.588838269,0.050705875,0.038228438,0.00227124,Desert,9.11,1.2265978,1.256,20.91,77.834,0.17739021,0.163775455,1.65767785,93.19494664,s27,6601,8.023443632,188.8176,-0.293665052,2.054711856,4.907895021,945,268.30202,0.18304493,1.592749658,1.333210269,12.93133865,7546,2.226377203,-0.087648703,0.186249191,-0.541964429,0.948311306,7.955453266,0.754445693,Grey brown desert soil,990.83
Bacteria_F281_raw,0.449855609,0.25,0.568682872,0.053798328,0.040962622,0.002398628,Desert,8.56,2.7526705,2.002,25.922,72.076,0.22472003,0.277807805,2.83287962,153.1408417,s28,6867,8.221645669,195.31554,-0.190194993,1.829257954,4.398029545,579,201.29578,-0.028845631,1.595004408,1.199999797,12.61967521,7446,1.440969328,0.177186274,0.055935444,0.280208085,-0.579811439,7.991189913,0.771391257,Brown soils,1022.28
Bacteria_F282_raw,0.449263817,0.23880597,0.571524064,0.050184034,0.045117845,0.001886103,Desert,8.64,1.77187154,4.181,28.279,67.54,0.20726341,0.265147365,2.55606463,153.1408417,s28,6666,8.022027302,201.18855,-0.198079093,2.075935329,3.982015973,425,155.61429,-0.043225491,1.595004408,1.199999797,12.00404328,7091,1.559717314,-0.916787413,0.069425572,-1.223613214,-0.579811439,7.991189913,0.6627527,Brown soils,1022.28
Bacteria_F283_raw,0.448601683,0.242857143,0.571428571,0.051280909,0.042347247,0.00216368,Desert,8.6,2.01501383,3.504,34.879,61.617,0.17841665,0.289839908,1.7921983,153.1408417,s28,7008,8.056527093,224.05129,-0.204003701,2.192845779,4.073449258,367,139.63558,0.073222888,1.595004408,1.199999797,12.12997635,7375,1.417026226,-0.710332504,0.052457135,-0.585033944,-0.579811439,7.991189913,0.806547556,Brown soils,1022.28
Bacteria_F291_raw,0.463811306,0.269230769,0.53909465,0.051345648,0.0375,0.002091299,Desert,8.66,0.58150441,1.2,18.146,80.654,0.17885593,0.196717748,1.97895236,227.4879289,s29,8068,8.391169913,215.83966,0.210825949,1.68656393,4.767022046,550,182.43532,-0.230534201,1.692388726,1.247809815,13.15819196,8618,2.037743509,1.120203703,0.104148696,-0.679867376,1.184013846,9.742080862,0.834249982,Brown soils,1019.54
Bacteria_F292_raw,0.463618081,0.263157895,0.540847983,0.052145002,0.040190375,0.002098973,Desert,8.45,0.3867152,1.566,19.37,79.064,0.16244091,0.185006951,1.81098551,227.4879289,s29,8021,8.340681996,208.71786,-0.342298499,1.702350662,3.826419137,595,202.89857,-0.106243592,1.692388726,1.247809815,12.16710113,8616,1.991352231,0.100047712,0.116637984,-0.505051514,1.184013846,9.742080862,0.655751031,Brown soils,1019.54
Bacteria_F293_raw,0.463124375,0.253521127,0.542326597,0.051587197,0.040112994,0.00200487,Desert,8.78,0.31280547,1.703,28.408,69.889,0.13258971,0.186926104,1.28625888,227.4879289,s29,7683,8.350396408,196.23294,-0.347976544,1.662488968,4.664091676,527,177.80232,-0.228889774,1.692388726,1.247809815,13.01448808,8210,2.042461284,0.880770815,0.11916123,-0.759540762,1.184013846,9.742080862,0.873862877,Brown soils,1019.54
Bacteria_F301_raw,0.493469221,0.170454545,0.521285361,0.050173203,0.036438923,0.002729056,Grassland,8.64,4.63808854,1.678,40.497,57.825,0.41404639,0.1809909,3.93245626,283.4720424,s30,8535,8.367244998,211.96542,-0.25124764,1.502300041,4.756111759,738,233.15124,0.125166764,1.663059434,1.235559091,13.12335676,9273,1.342166267,1.023751937,0.647923109,0.03268912,0.677895211,10.17880709,0.786547902,Chestnut soil,989.04
Bacteria_F302_raw,0.49341655,0.177777778,0.517979452,0.051449603,0.037267081,0.002688549,Grassland,8.77,6.54672664,1.08,24.638,74.282,0.36051108,0.172376643,3.27868095,283.4720424,s30,8040,8.204774011,202.60962,-0.237301209,1.468462935,4.70502426,838,229.96036,0.170285963,1.663059434,1.235559091,12.90979827,8878,1.451302414,0.389232341,0.614277098,0.233062236,0.677895211,10.17880709,0.875164954,Chestnut soil,989.04
Bacteria_F303_raw,0.49366366,0.173913043,0.527686404,0.050942358,0.03500761,0.002764684,Grassland,8.61,3.65853658,0,26.546,73.454,0.36648578,0.180454397,3.65128203,283.4720424,s30,7851,8.277995948,202.82422,-0.253405553,1.501223974,5.356551663,1185,301.78673,0.195512319,1.663059434,1.235559091,13.63454761,9036,1.616100212,1.23454433,0.715308738,0.243068302,0.677895211,10.17880709,0.854464468,Chestnut soil,989.04
Bacteria_F31_raw,0.451680894,0.166666667,0.475791434,0.053114286,0.047457627,0.002725404,Grassland,8.37,11.41226819,1.731,86.112,12.157,2.5143225,0.326543469,27.54552888,302.5978955,s3,5512,7.600693898,161.03525,-0.333989859,1.522920562,4.57938167,446,168.40721,-0.179032536,1.511192835,1.148393289,12.18007557,5958,-1.289789912,-1.912732917,-0.809434484,0.628286454,-2.219989291,8.81989776,0.803261639,Chestnut soil,1258.26
Bacteria_F311_raw,0.491126448,0.159090909,0.506000558,0.051895912,0.037510656,0.002988508,Grassland,8.43,0.77249903,3.972,66.27,29.758,0.6183889,0.232857603,5.36853934,221.2055394,s31,7272,8.129519159,209.48372,0.061726618,1.729874055,5.011255862,678,196.28259,0.129230595,1.60599608,1.217289824,13.14077502,7950,1.105260141,0.388925692,0.4415287,0.772105608,-0.241799328,8.81989776,0.809260615,Chestnut soil,1258.26
Bacteria_F312_raw,0.491405318,0.168539326,0.509552239,0.052091442,0.040253279,0.002801399,Grassland,8.53,0.55865922,7.228,92.772,0,0.432,0.13027947,3.51242035,221.2055394,s31,7571,8.256650804,207.13576,0.088162279,1.619121312,4.991164239,600,185.34501,-0.03260906,1.60599608,1.217289824,13.24781504,8171,1.174477959,0.831972079,0.483058594,0.532713939,-0.241799328,8.81989776,0.810129283,Chestnut soil,1258.26
Bacteria_F313_raw,0.491070329,0.164835165,0.510011123,0.051998159,0.036619718,0.002995481,Grassland,8.43,0.43222683,2.347,28.766,68.887,0.42191374,0.119370591,3.37149944,220.427794,s31,7476,8.238569043,196.50102,0.068216203,1.703549886,5.27097102,852,234.2215,0.078103981,1.60599608,1.217289824,13.50954006,8328,1.97175868,1.015434386,0.479440199,0.803411733,-0.241799328,8.289993199,0.875030402,Chestnut soil,1216.6
